user_id,city,trip_date,vehicle_type,battery_capacity_kwh,battery_health_pct,distance_km,daily_trip_count,charging_frequency_per_week,charging_type,charging_duration_min,charging_station_distance_km,energy_consumed_kwh,electricity_cost_per_kwh,weather_condition,traffic_density,user_income_level,range_km_estimated,range_anxiety_risk,vehicle_type_label,state,year,month
0f043e7d-c3b7-4478-9566-18494d053204,Mumbai,2026-03-04,2W,3.25,78.31,34.72,2.0,7.0,public_fast,55.32,,6.34,9.27,rainy,0.416,low,17.54,1.0,Two-Wheeler,Maharashtra,2026.0,3.0
8507eade-6ee7-4c2d-80b1-eacc566a7cb2,Chennai,2026-08-03,4W,37.14,74.38,1.0,3.0,6.0,home,348.99,3.08,,7.98,,0.266,low,189.43,1.0,Four-Wheeler,Tamil Nadu,2026.0,8.0
cad267b4-0561-490e-9d43-46b0530d9359,Hyderabad,2021-08-10,3W,7.46,94.55,7.74,2.0,3.0,public_slow,155.97,0.07,1.21,6.71,rainy,0.092,middle,40.26,0.0,Three-Wheeler,Telangana,2021.0,8.0
26e25157-b9fe-41ce-8d40-3fa3c0979de5,Delhi,2023-09-15,2W,2.37,93.46,66.67,3.0,5.0,public_fast,64.37,0.88,15.74,8.88,clear,0.251,middle,14.2,1.0,Two-Wheeler,Delhi,2023.0,9.0
9ca94273-0df4-48cb-be60-af643dc606f9,Bangalore,2023-09-28,2W,3.16,86.07,,2.0,4.0,home,361.86,0.8,,8.93,humid,0.166,low,18.97,0.0,Two-Wheeler,Karnataka,2023.0,9.0
df58f6e1-e425-45b7-8c05-d9d1c88e4acb,Ahmedabad,2023-01-10,2W,3.59,83.51,37.52,1.0,4.0,public_fast,39.24,1.36,5.5,7.92,clear,0.331,middle,21.54,0.0,Two-Wheeler,Gujarat,2023.0,1.0
2f91d5e0-b3e1-466c-82c0-f6356d1d1767,Mumbai,2023-03-31,3W,8.09,86.5,26.38,3.0,2.0,public_slow,171.21,0.68,3.68,8.36,humid,0.547,middle,,0.0,Three-Wheeler,Maharashtra,2023.0,3.0
7c380a65-b3f6-45e4-8f84-b5261e06009c,Chennai,2019-07-07,2W,3.13,,45.58,3.0,2.0,public_fast,53.81,3.94,7.91,6.67,clear,0.257,high,18.77,1.0,Two-Wheeler,Tamil Nadu,2019.0,7.0
6b0cb67f-dd22-41cf-85ff-3f3ba2ef8f43,Bangalore,2023-04-06,2W,2.29,85.9,19.86,2.0,3.0,public_fast,,6.56,4.59,8.4,rainy,0.52,low,12.38,1.0,Two-Wheeler,Karnataka,2023.0,4.0
600d9638-d673-40bb-9901-66c2d67dcfed,Chennai,2021-12-29,,34.64,89.04,26.54,4.0,2.0,public_slow,153.63,1.34,3.93,7.0,clear,0.364,middle,207.82,0.0,,Tamil Nadu,2021.0,12.0
3865ab28-559c-47ae-9545-afe1f365d9d4,Delhi,2021-09-29,2W,,89.45,46.04,3.0,1.0,public_fast,71.74,2.26,8.17,9.19,rainy,0.162,middle,18.34,0.0,Two-Wheeler,Delhi,2021.0,9.0
767dbc59-e5b9-4b5e-9663-4906d98a2775,Delhi,2019-08-18,4W,43.25,93.89,33.05,,1.0,public_fast,72.41,4.2,6.93,5.84,extreme_heat,0.288,low,220.55,0.0,Four-Wheeler,Delhi,2019.0,8.0
ca5f875b-d5d8-40bd-961b-b86638401729,Chennai,2025-05-12,2W,3.11,88.54,1.0,3.0,5.0,public_slow,190.4,4.36,0.14,9.78,extreme_heat,0.182,low,15.88,1.0,Two-Wheeler,Tamil Nadu,2025.0,5.0
c6a9dcde-342e-4b30-926d-20bb033fd3c3,Delhi,2024-02-23,2W,3.11,89.24,27.62,3.0,3.0,home,362.96,2.74,4.31,9.83,humid,0.492,middle,18.68,0.0,Two-Wheeler,Delhi,2024.0,2.0
2a37e66a-4bdc-4be6-9fad-cd0ae00cf4e6,Pune,2025-07-18,2W,3.41,91.48,21.32,5.0,4.0,home,246.63,3.17,3.5,8.18,extreme_heat,0.224,low,17.4,1.0,Two-Wheeler,Maharashtra,2025.0,7.0
f370c1b9-0004-44cd-98ae-63f58b0d5773,Delhi,,3W,6.59,96.83,10.55,2.0,3.0,public_slow,181.68,3.83,2.35,6.36,extreme_heat,0.19,middle,33.63,0.0,Three-Wheeler,Delhi,,
11ff4d56-8737-45cf-b597-693f7da131be,Pune,2025-09-06,3W,7.55,86.28,28.21,4.0,3.0,public_slow,186.93,0.3,4.66,9.39,clear,0.133,middle,45.32,0.0,Three-Wheeler,Maharashtra,2025.0,9.0
6af8ef62-d507-417f-a416-2f2ca28bc59f,Ahmedabad,2025-01-08,2W,3.44,87.33,10.61,3.0,6.0,public_slow,216.2,1.39,1.49,8.4,humid,0.285,low,20.62,0.0,Two-Wheeler,Gujarat,2025.0,1.0
0ffa2017-33d0-43dd-942b-02ba262076c3,Mumbai,2024-02-02,4W,44.77,88.26,20.27,2.0,5.0,public_slow,149.09,0.68,3.33,8.26,humid,0.187,high,268.62,0.0,Four-Wheeler,Maharashtra,2024.0,2.0
a63b6c9f-cd97-4b02-9354-0737ef3ee855,Mumbai,2024-09-10,4W,35.53,83.33,48.41,1.0,4.0,public_fast,70.99,7.45,7.82,7.23,rainy,0.416,low,191.89,0.0,Four-Wheeler,Maharashtra,2024.0,9.0
de1eaf35-5a03-4041-9c86-d33860b99046,Ahmedabad,2025-01-18,4W,36.69,86.26,13.11,3.0,4.0,home,330.3,1.59,1.8,9.87,humid,0.121,middle,220.15,0.0,Four-Wheeler,Gujarat,2025.0,1.0
dbce4fc2-1c8e-4f4d-ba9f-eedd0e60fb33,Ahmedabad,2023-01-26,4W,41.89,96.26,5.1,2.0,5.0,home,256.16,1.28,1.07,6.72,clear,0.121,low,251.32,0.0,Four-Wheeler,Gujarat,2023.0,1.0
65e884b4-6e8c-4522-8cec-56e2d79c4a0d,Mumbai,2019-11-19,3W,9.63,92.85,18.4,2.0,2.0,home,386.48,0.15,3.04,4.56,rainy,0.439,low,52.02,,Three-Wheeler,Maharashtra,2019.0,11.0
0df916a9-9a99-4bd3-a5b5-f3971f2b7ddf,Delhi,2025-03-01,,3.32,,1.0,3.0,6.0,public_slow,155.39,4.72,0.19,11.11,extreme_heat,0.361,high,16.95,1.0,,Delhi,2025.0,3.0
debc795c-d8ec-4d55-aef7-926b38628ce7,Delhi,2026-09-26,3W,7.79,76.53,16.16,3.0,6.0,public_fast,67.14,0.66,3.05,8.81,humid,0.368,middle,46.75,0.0,Three-Wheeler,Delhi,2026.0,9.0
93808821-54e7-4600-8ec4-153975aaf67e,Delhi,2020-05-10,2W,2.11,90.9,14.96,3.0,3.0,public_fast,91.06,3.5,,6.06,clear,0.185,middle,12.64,1.0,Two-Wheeler,Delhi,2020.0,5.0
1e9fbc99-1e50-4871-84e9-e9f80f00aaa8,Mumbai,2021-06-21,2W,3.16,93.35,26.45,2.0,3.0,public_slow,147.27,3.14,4.42,9.09,clear,0.213,low,18.97,1.0,Two-Wheeler,Maharashtra,2021.0,6.0
92f98799-d700-4cd5-a82b-e00075ca801b,Mumbai,2022-09-15,3W,5.91,99.85,20.36,1.0,4.0,public_fast,72.28,0.17,4.43,8.86,extreme_heat,0.186,low,30.14,0.0,Three-Wheeler,Maharashtra,2022.0,9.0
,Hyderabad,2025-05-27,2W,2.64,80.93,29.66,4.0,6.0,public_fast,77.15,0.12,4.38,8.84,extreme_heat,0.368,low,13.47,1.0,Two-Wheeler,Telangana,2025.0,5.0
acbb4d82-6e45-46dd-9bd9-1aed716cb725,Bangalore,2023-11-01,,3.25,88.44,3.32,3.0,3.0,public_fast,53.14,1.61,0.51,8.46,clear,0.198,middle,19.48,0.0,,Karnataka,2023.0,11.0
9343f779-982c-4f17-9a99-c97b33e63ad2,Mumbai,2020-02-08,2W,3.73,101.8,57.3,4.0,1.0,public_fast,77.45,1.25,13.68,6.68,clear,0.671,low,22.35,0.0,Two-Wheeler,Maharashtra,2020.0,2.0
7173388b-6993-4b54-88fb-f6f0fa8fa177,Delhi,2024-01-12,2W,2.04,86.81,33.57,4.0,5.0,public_fast,74.84,0.05,6.07,9.98,extreme_heat,0.385,low,10.42,1.0,Two-Wheeler,Delhi,2024.0,1.0
,Ahmedabad,2023-12-21,4W,31.43,94.77,23.28,2.0,5.0,public_slow,116.22,3.79,5.29,7.4,clear,0.26,low,188.61,1.0,Four-Wheeler,Gujarat,2023.0,12.0
8cac4e32-0c76-49e6-ac50-4267632251f1,Mumbai,2019-03-02,4W,33.16,102.68,40.91,5.0,,home,250.33,3.82,5.27,5.7,rainy,0.158,middle,179.05,0.0,Four-Wheeler,Maharashtra,2019.0,3.0
6b91a4b6-9daa-4003-8569-c3a77610468f,Mumbai,2023-07-01,2W,2.88,92.86,34.68,3.0,5.0,home,242.1,4.69,9.06,8.69,extreme_heat,0.656,low,14.67,1.0,Two-Wheeler,Maharashtra,2023.0,7.0
26127629-dced-469a-91b8-d395d3d04ebf,Bangalore,2024-02-07,2W,2.76,91.67,39.72,1.0,4.0,public_slow,179.41,0.8,5.96,9.3,extreme_heat,0.41,low,14.06,0.0,Two-Wheeler,Karnataka,2024.0,2.0
